,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
13413,0.706,0.558,2,-7.237,0,0.0596,0.146,0.0,0.118,0.228,110.444,1gF2lGvaSUpNYZeJTm9LRI,223253,4
13414,0.635,0.843,5,-5.413,1,0.0432,0.0151,0.0,0.0876,0.434,109.014,7MIver51PUa4mPeSQOUgD5,220733,4
13415,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,4XrJGNKMQxnBNSqXN7Xbw8,249444,4
13416,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,64d6oxi6KXUCfRRSWRtFnn,249444,4
13417,0.615,0.28,0,-8.648,1,0.0433,0.932,0.0,0.0877,0.387,72.797,693hEmQkp5tVdlwNfA9INc,213827,4
13418,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,2AAT3VqSAKS1CmpZZkbghR,249444,4
13419,0.852,0.551,1,-4.951,1,0.0416,0.0146,0.0,0.0898,0.85,134.061,1zcaL8Zaa65hhcVAWHqVGa,205080,4
13420,0.708,0.598,5,-8.365,1,0.0291,0.037,0.0,0.17,0.698,112.027,3vbVmaIa65i8MyZF4tbubE,203123,4
13421,0.853,0.871,8,-3.715,1,0.0848,0.0145,6.86e-05,0.198,0.863,124.019,4NQEMvof0ks1sGKhZV04zb,210053,4
13422,0.635,0.843,5,-5.413,1,0.0432,0.0151,0.0,0.0876,0.434,109.014,1YD2I13srryNsSbmhanxQG,220733,4
13423,0.761,0.729,7,-6.704,1,0.0498,0.15,0.0,0.0647,0.611,111.973,7fabE86tRqp4zTJp7cRO20,225027,4
13424,0.704,0.701,5,-4.314,1,0.0286,0.00391,0.0,0.058,0.584,108.992,3vEEjM6M4ThlM7x4ZEmf4u,370812,4
13425,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,4y6IatjVuOl2RHEEOdlB1e,197443,4
13426,0.818,0.804,1,-4.282,1,0.0798,0.034,0.0,0.154,0.634,106.969,5eVWgl2gqxPDKQUsMWbADU,225983,4
13427,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,3DfPWdTZpM5anxlDxRORS8,249444,4
13428,0.783,0.627,2,-8.521,1,0.102,0.00756,0.0,0.0606,0.48,100.025,0a6UwlxGGCFexbdO8uFrfi,219389,4
13429,0.523,0.607,1,-4.754,0,0.03,0.512,0.0,0.106,0.0651,145.837,2dKS8X51RCAZUmzZoWFNVE,217867,4
13430,0.852,0.551,1,-4.951,1,0.0416,0.0146,0.0,0.0898,0.85,134.061,4YozDJ08EosPGxObo5Vm4N,205080,4
13431,0.615,0.28,0,-8.648,1,0.0433,0.932,0.0,0.0877,0.387,72.797,30XA5OySu66wPsHQ9vkHcQ,213827,4
13432,0.726,0.699,5,-4.165,1,0.0431,0.049,0.0,0.309,0.866,143.994,4ZyuQGGZcrCtrUOHc4YjsV,233478,4
13433,0.852,0.551,1,-4.951,1,0.0416,0.0146,0.0,0.0898,0.85,134.061,6DpPCLWfUe6IySWMd4Ex9m,205080,4
13434,0.548,0.627,9,-8.949,1,0.0409,0.0471,0.0,0.285,0.493,143.994,1CeR2NQ4i2YRN6WK9MOISF,255455,4
13435,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,3wzhcCvSnW4aKIewXGOEdf,249444,4
13436,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,36jYXm0U0EXicdHMVYqaSz,197443,4
13437,0.708,0.598,5,-8.365,1,0.0291,0.037,0.0,0.17,0.698,112.027,1oRlrYV990ozoi0b6Fff9D,203123,4
13438,0.799,0.579,4,-5.144,0,0.0487,0.00381,0.0,0.367,0.363,142.987,3COxaBKyaLcmv2qPtPfrD4,203161,4
13439,0.872,0.699,5,-5.071,0,0.0349,0.0291,0.000123,0.0639,0.934,116.033,02ftvyg3HUTX9tl0qqGwcY,176093,4
13440,0.852,0.551,1,-4.951,1,0.0416,0.0146,0.0,0.0898,0.85,134.061,0ae8kvrfDZrNudqOizTOOW,205080,4
